NseCode,Company,OldFV,NewFV,SplitDate
DFMFOODS,DFM Foods,10,2,01-11-2018
,Mishtann Foods,10,1,01-11-2018
,HICS Cements,10,1,01-11-2018
JINDWORLD,Jindal Worldwid,5,1,31-10-2018
notScraping,Damodar Ind,10,5,25-10-2018
,Colorchips New ,1,10,22-10-2018
,Frontline Sec,10,5,22-10-2018
IEX,IEX,10,1,19-10-2018
APOLSINHOT,Apollo Sindoori,10,5,12-10-2018
,Unimode Oversea,1,10,11-10-2018
JMCPROJECT,JMC Projects,10,2,04-10-2018
notScraping,Kirloskar Pneum,10,2,26-09-2018
,Captain Poly,10,2,19-09-2018
,Generic Eng,10,5,17-09-2018
ZENSARTECH,Zensar Tech,10,2,07-09-2018
AIRAN,Airan,10,2,14-08-2018
notScraping,Thirumalai Chem,10,1,14-08-2018
SIGIND,Signet Ind,1,10,13-08-2018
notScraping,DIL,10,5,08-08-2018
GALLISPAT,Gallantt Ispat,10,1,07-08-2018
,Otco Intl,10,2,10-07-2018
notScraping,Shrenik,10,2,09-07-2018
FILATEX,Filatex India,10,2,27-06-2018
CONCOR,Container Corp,10,5,26-06-2018
AVANTIFEED,Avanti Feeds,2,1,26-06-2018
UNIPLY,Uniply Ind,10,2,25-06-2018
,Vikas Proppant ,10,1,22-06-2018
MCDOWELL-N,United Spirits,10,2,15-06-2018
,B C Power Contr,10,2,14-06-2018
notScraping,Swadeshi Ind,1,10,14-06-2018
LUMAXTECH,Lumax Auto Tech,10,2,07-06-2018
notScraping,Gaekwar Mills,100,10,31-05-2018
,Gala Global Prd,10,5,10-05-2018
CITURGIBIO,Citurgia Bioche,10,2,26-04-2018
NBCC,NBCC (India),2,1,25-04-2018
,A Infra.,10,5,20-04-2018
notScraping,Foods and Inns,10,1,19-04-2018
,Shivalik Rasa,10,5,19-04-2018
notScraping,Phillips Carbon,10,2,19-04-2018
,Think Ink Studi,10,1,17-04-2018
AMRUTANJAN,Amrutanjan Heal,2,1,13-04-2018
,Atharv Ent,1,10,12-04-2018
,Ruchika Industr,10,5,10-04-2018
MARATHON,Marathon Realty,10,5,05-04-2018
INDNIPPON,India Nippon,10,5,21-03-2018
,SRS Finance,10,1,09-02-2018
SINGER,Singer India,10,2,17-01-2018
,Super Crop Safe,10,2,04-01-2018
notScraping,Sadhana Nitro,10,5,29-01-2019
,Comfort,1,10,24-01-2019
GUJGASLTD,Gujarat Gas,10,2,15-01-2019
,Acrysil India,10,2,10-01-2019
